,stripped,readable
312,much rice enter value chain week period,How much rice enter the value chain during a 6 - 8 week period?
313,farmer store repayment rice one month see price go high usually glut sell,The farmers will store the repayment rice for one month to see if the price will go higher (usually there s a glut) and then they will sell.
314,usually put rice two part one go loan repayment one share farmer individual consumption,Usually they put the rice into two parts one to go to loan repayment and one to share between farmers and individual consumption.
315,farmer harvest night sell side,Farmers will harvest at night to sell on the side.
316,pape see farmer take rice front eye pay loan happen fairly often,"Pape saw a farmer taking rice in front of his eyes who hadn t paid his loans, but what can we do? This happens fairly often."
317,cost storage high want go next season fast pay back soon possible loan next season influence quickly farmer sell,"If the cost of storage is high, or if they want to go to the next season very fast, or pay back as soon as possible to have a loan for the next season will influence how quickly a farmer sells."
318,farmer struggle loan repayment past tend wait sell want well price know pay loan back whether get loan,Farmers who struggled with loan repayment in the past tend to wait to sell because they want a better price but they also don t know if they pay the loan back whether they will get a loan again.
319,bank might automatically give another loan even pay loan back want make sure get enough money rice,"The bank might not automatically give them another loan even if they pay their loan back, so they want to make sure they get enough money from the rice they do have."
320,enough leftover sell make payment verbal agreement bank give money back guarantee another loan note think mean time repayment less important scale repayment,"If they have enough $ leftover from selling, they ll make a payment or there s a verbal agreement with the bank, If you give me the money back I ll guarantee you another loan. [Note: I think this means that the time of repayment is less important than the scale of repayment."
321,well sell late repay sell early repay less,It s better to sell late and repay more than sell early and repay less].
322,difficult predict loan repayment srv,Is it difficult to predict loan repayment in the SRV?
323,manobi ask question,Manobi has also been asking themselves this question.
324,farmer pay back loan luxury farmer oblige repay environment set farmer repay every time,"For a farmer to pay back his loan is a luxury the farmer is not obliged to repay, the environment is not set up for the farmers to repay every time."
325,constraint police come take away farm depend farmer pay back,They don t have constraints the police don t come and take away the farm it depends on the farmer to pay back or not.
326,farmer want pay back know get another loan advantage,"The farmer wants to pay back if he knows if he ll get another loan, or if there are other advantages, e.g."
327,get harvester loan,"getting a harvester loan, etc."
328,farmer pay back loan even good season eager keep money never know,"Some farmers don t pay back their loans even if they have a good season they re eager to keep their money, we never know."
329,farmer ever anything surprise oh yeah, Do farmers ever do anything that surprises you? Oh yeah!
330,sometimes make decision may linear,Sometimes they make some decisions which may not be linear.
331,cultivate one crop another use lot fertilizer instead require usually kg ha sometimes people use,"Cultivating one crop or another, or using a lot of fertilizer instead of what is required usually 100 kgha but sometimes people use 140 or 150."
332,reasoning well bird around water bird come pick fertilizer,"The reasoning is, Well, there are birds around here, and when you water the birds come pick up [the fertilizer?"
333, make sense dr fall,"], which doesn t make sense to Dr. Fall."
334,say sometimes farmer know good close farmer extension agency well practice,"But he says that sometimes farmers know best themselves, and the closer to farmers are to extension agencies the better practices they have."
335,farmer determine much credit need credit depend number hectare cultivation, How do farmers determine how much credit they need? Credit depends on the number of hectares under cultivation.
336,farmer know land coop individual farm plot within big box,Farmers know what land they have as a coop individual farms are just plots within a big box.
337,credit disperse accord number hectare,Credit is dispersed according to number of hectares.
338,x amount land farmer need x amount fertilizer x amount seed,"For X amount of land, a farmer needs X amount of fertilizer, X amount of seed, etc."
339,credit cash credit bond go service provider seed fertilizer operator give bond service provider go bank pay,"The credit is not cash credit, it s on bonds so you go to the service providers (seed or fertilizer operators) and give the bonds to them; then the service providers go to the bank to be paid."
340,pick provider get certificate farmer state provide input,"You can pick the provider, and they get a certificate from the farmer stating they provided the input."
341,credit come exclusively banque agricole private public own establish state lower interest rate help farmer,The credit comes exclusively from Banque Agricole which is privatepublic-owned; established by the state to lower interest rates and help farmers.
342,another financial system commercial bank high rate interest microfinance low commercial bank high banque agricole,"But now there s another financial system of commercial banks with higher rates of interest, and microfinance which is lower than commercial bank but higher than Banque Agricole."
343,coop go bank outside banque agricole punish default ba loss credit farmer move forward,Coops go to banks outside the Banque Agricole if they re being punished after defaulting with BA (loss of credit for all farmers moving forward).
344,even go miller finance input exchange paddy afterwards,"They ll even go to the miller, who finance inputs in exchange for some paddy afterwards."
345,dr fall say pretty common someone default usually coop use land credit trick coop whole default,"Dr. Fall says it s pretty common for someone to default, but usually the coops use the land-for-credit trick so the coop as a whole doesn t default."
346,formal system slow still quick informal system,"The formal system is slow, but it s still quicker than the informal system!!"
347,informal system might give seed want might high quality seed might even later financier get finance somewhere else credit union least guarantee provision certify seed requirement get credit,"Also the informal system might not give you the seeds you want, they might not be high quality seeds, they might be even later because the financiers themselves have to get financed from somewhere else Credit union at least guarantees the provision of certified seed, because that s a requirement of getting credit."
348,note think use certify seed mean provide part unclear,"[Note: I think just because you have to use certified seed doesn t mean that it will be provided, this part was unclear]."
349,loan issue induce conflict within cooperative sometimes decide go way,"Loan issues induce conflict within cooperatives, and sometimes they all decide to go their own way."
350,pay back conflict within community,"If you don t pay back, there s conflict within the community."
351,harvest time cooperative collect yield farmer store headquarters take corresponding credit farmer production leave remain farmer,"At harvest time, the cooperative has to collect ALL the yield from farmers and store in headquarters; then they take all the corresponding credit from each farmer s production and leave the remaining to each farmer."
352,,e.g.
353,might keep two bag must pay back credit first,"you might keep two bags, but you must pay back credit first."
354,discussion central bank regulation really understand,Discussion of central bank regulations that I didn t really understand!
355,much foreign influence usaid chinese organization copia,"Not much foreign influence there s USAID, a Chinese organization (Copia?"
356,finance development program,"), financing development programs."
357,financing line bank choose support startup cost subsidize credit farmer,"Financing line in any bank they choose, to support startup costs and subsidize through credit for farmers, e.g."
358,new equipment,"for new equipment, etc."
359,usaid heavily involve rice vc naatal mbay vc project korean agency choose certain village research japanese agency djika,"USAID heavily involved in rice VC (Naatal Mbay, VC project), but now there s a Korean agency that chooses certain villages to do research, a Japanese agency (Djika?"
360,canadian acti,"), Canadian (ACTI?"
361,agdi,AGDI?
362,french afd,"), French (AFD)."
363,powerful enough influence farm behavior,Some are powerful enough to influence farm behavior.
364,example usaid project work miller difficulty access paddy establish program farmer miller trader,"For example, the USAID project was working with millers who were having difficulty accessing paddy, so they established a program with farmers, millers and traders."
365,farmer get credit credit union miller get access paddy credit usaid miller sell trader pay back credit union farmer,"Farmers get credit from credit union, millers get access to paddy and credit from USAID, millers sell through traders and then pay back the credit union for farmers."
366,decision making conform rule farmer want profit,Decision-making conformed to the rules because farmers want the profit.
367,amount credit input pretty small,Amount of credit for input is pretty small.
368,improve system farmer need push get access equipment,"For improving the system itself, farmers need to be pushed to get access to equipment."
369,credit union make program subsidize equipment cost farmer pay back million whatever,"Credit union makes a program to subsidize 20 or 30% of equipment cost, so farmers pay back only 70% of 40 million or whatever."
370,program work miller miller need update tool subsidy go even low small,This program works with the millers too because millers need to update their tools; subsidy goes up to 40% or even 60% if it s lower [smaller?]
371,equipment,equipments.
372,loc,[Loc?]
373,afrique institution long term loan support state,Afrique is an institution that does longer-term loans supported by the state.
374,predict coop go get credit depend aez, Can you predict if a coop is going to get credit? It depends on the AEZ.
375,delta zone lot influence ngo extension agency educate farmer farmer organize professionally influence policy coop strong leader good enough aggregated land probably go get credit,"If you re in the Delta zone where there s a lot of influences from the NGOs and the extension agencies and more educated farmers, where farmers organize themselves professionally and influence policy; if the coop is strong and the leaders are good and there s enough aggregated land then you re probably going to get credit."
376,past fail recoup loan delta delta farmer know important credit recognize potential punishment default happen much,"In the past they failed to recoup loans in the Delta, but now that the Delta farmers know how important credit is and because they recognize the potential punishment during default, it doesn t happen so much."
377,upper upper upper delta farmer little afraid credit follower one person community pay everyone pay,"The Upper, upper upper Delta, the farmers are a little afraid of having credit but they re followers; if one person in the community pays, everyone pays [?]."
378,prd french project aim build irrigation rice,3 PRD was a French project aiming to build irrigation for rice.
379,ha call small private enterprise,"If you have up to 20 ha, they call you a small private enterprise."
380,call intermediate,20 - 100 they call intermediate.
381,high category,200+ is the high category.
382,cover cost intermediate high category small enterprise,"Covering 80% of the costs as intermediate, 90% as high category, 40% for small enterprise."
383,lot attrition kind program,There s a lot of attrition in these kinds of programs.
384,big disaster bad year government erase credit debt especially near election,"If there s a big disaster or bad year, the government erases credit debt (especially near elections!!!)"
385,farmer take advantage,Some farmers take advantage of this.
386,farmer organize prepared plant good record,"If farmers are organized, prepared to plant, have good records, etc."
387,probably credit,then they probably have credit.
388,might see farm everyone work individually struggle get fertilizer know credit,But you might see farms where everyone is working individually and they re struggling to get fertilizer and you know they don t have credit.
389,look density service provider,Can also look at the density of service providers.
390,presence big leader,Or the presence of big leaders.
391,right type land irrigate system people land suitable,Or if you have the right type of land but for irrigated system most people s land is suitable.
392,tomato need right type soil,But for tomatoes you need the right type of soil.
393,far plot principle source water,How far is your plot from the principle source of water.
394,everyone day water distribution far away might late get access might determine crop grow,"Everyone has their own day for water distribution; if you re far away, then you might be late getting access, which might determine the crops you grow."
395,sometimes land flat might bad garden crop,Sometimes your land isn t flat which might be bad for garden crops [?].
396,coop leader really direct area might influence crop switch one crop another information fertilizer oh leader grow onion maybe follow coop leader participate inter profession organization farmer miller trader banker trade information pressure government,"Coop leaders don t really direct what the area is, but they might influence what to crop, how to switch from one crop to another; they have information about fertilizer, etc.. Oh, the leader is growing onion, so maybe I will follow. Coop leaders participate in the inter-profession organizations (farmers, millers, traders, bankers) who trade information and pressure the government."
397,farmer organization basically go strike thing like land tenure like go stop season track want give land agribusiness top thing make decision farmer crop go to grow,"Farmers in these organizations can basically go on strike over things like land tenure they can be like, We re going to stop the season in its tracks if you want to give our land to agribusinesses. Top 5 things to make a decision as a farmer about what crop you re gonna grow and why: 1."
398,happen market,What s happening to the market?
399,,2.
400,last season go,How did the last season go?
401,sell appropriate way lose money go shift another crop,"If they sold the appropriate way and lost money, they re going to shift to another crop 3."
402,access credit,Do I have access to credit?
403,,4.
404,need know cost different input depend cost production especially beginning cropping season need get input start crop,"Need to know the costs of the different inputs depending on the costs of production, especially in the beginning of the cropping season, because you need to get the inputs before you start cropping."
405,need enough money first input need,"Need enough money just for the very first input needs, e.g."
406,land preparation water access seed,"land preparation, water access, and seed."
407,,5.
408,labor irrigated system require lot labor use machinery probably expensive,Labor most of the irrigated system requires a lot of labor if you re not using machinery (and you probably aren t because it s expensive.)
409,sometimes family enough labor hire labor,Sometimes your family isn t enough labor so you have to hire labor.
410,might enough money hire labor covid might make difficult nobody move machinery,"You might not have enough money to hire labor, COVID might make it difficult, or nobody can move the machinery to where you are."
411,often temporary migration srv pandemic,Often there s temporary migration into the SRV but not during the pandemic.
412,sugar cane production happen time competition,Sugar cane production happens at the same time so there s competition.
413,podor delta beyond podor upper delta delta upper delta valley valley start matam bakel st louis podor dagana st louis dagana delta zone st louis ross bethio low delta bas delta low delta within delta extend dagana dagana matam call upper upper upper delta matam podor matam call vall within valley call low valley upper valley high valley main area valley delta valley matam bakel sometimes village name department administrative district region,"Podor = Delta Beyond Podor = Upper Delta Delta, Upper Delta, and Valley Valley starts in Matam up to Bakel Between St. Louis, before Podor, at Dagana between St. Louis and Dagana is the Delta Zone St Louis to Ross Bethio is Lower Delta  Bas-Delta But Lower Delta is within the Delta which extends to Dagana Dagana to Matam is called Upper, Upper Upper Delta Matam is after Podor After Matam is called the Vall e Within the Valley, you can call it Low Valley, Upper Valley and High Valley But the main area in Valley is Delta Valley (Matam to Bakel) Sometimes villages have the same name as the departments (administrative districts  regions)."
414,use belong st louis district,Used to belong to St. Louis but now they have their own districts.
415,dagana secondary town term population infrastructure still agricultural town,"Dagana is a secondary town now in terms of population and infrastructure, but it s still an agricultural town."
416,dagana region st louis,Dagana is in the region of St. Louis.
417,dagana dividing line term travel road give good administrative boundary delta section village belong different district even mauritania,"Dagana is a dividing line in terms of traveling on the road, but you can t give good administrative boundaries to the Delta sections because villages belong to different districts and even to Mauritania."
418,dagana mostly rice cropping base podor mostly onion tomato,"Dagana is mostly rice cropping based, Podor is mostly onions and tomatoes."
419,dagana limit extension agency information service,Dagana is the limit of extension agencies information and services.
420,beyond dagana get less information less service less ngo,"Beyond Dagana you get less information, less services, less NGOs."
421,fanaye dieri close dagana practice term ethnic practice still tukolor,"Fanaye Dieri is closer to Dagana so they have the same practices, but in terms of ethnic practices, they still have the Tukolor (?)"
422,type,type.
423,resemble dagana farmer term rice intensity practice close podor,"They resemble Dagana farmers in terms of rice intensity, but their practices are closer to Podor."
424,upper low delta divide ross bethio,Upper and Lower Delta are divided by Ross Bethio.
425,division make cite town along national road,Divisions are made by citing towns along the national road.
426,richard toll outside low delta irrigated scheme,Richard Toll is outside the Lower Delta it doesn t have the same irrigated scheme.
427,big irrigate scheme within low delta,Big irrigated schemes are within the Lower Delta.
428,cultivar individual farmer coop decide cultivar,Cultivars How does an individual farmer OR coop decide cultivar?
429,predict upper delta different practice,"Can you predict? If you are in the Upper Delta, there are different practices."
430,may crop rice tomato cold dry mostly orient towards onion cold dry,Some may crop rice and then tomatoes in colddry; some mostly oriented towards onions in the colddry.
431,delta term cultivar hot rice season may choose short cycle cultivar depend time seed,"If you re in the Delta, in terms of cultivar, if it is the hot rice season, you may choose the short cycle cultivar depending on what time you re seeding."
432,seed time determine whether choose long short cycle cultivar,Seeding time determines whether you choose long or short cycle cultivars.
433,want double cropping start february choose short cycle cultivar prepare crop end hot dry go rainy season,"If you want to do a double cropping and you didn t start in February, then you have to choose a short cycle cultivar so you can prepare to crop before the end of the hotdry going into the rainy season."
434,influence market well last season satisfy might choose crop,"There are influences from the market as well if last season you weren t satisfied, you might not choose the same crop."
435,within rice different cultivar length cycle salinity,"Within rice, you have different cultivars length of cycle, salinity, etc."
436,crop versus crop,Then you have crop versus crop.
437,cold season podor people onion,"If you are in a cold season and you are in Podor, most people will do onion."
438,onion zone dagana local tomato industry people mostly orient towards tomato,"It s the onion zone. If you are in Dagana, where you have local tomato industry, people are mostly oriented towards tomatoes."
439,term variety tomatoe onion choose base market demand people go see kind rice people want,"In terms of variety (tomatoesonions), you re choosing based on market demand (people will go to see what kind of rice people want)."
440,sahel common rice variety people like seed producer make,"Sahel 108, 201 are common rice varieties that people like, so seed producers make those."
441,podor dagana hot dry always rice podor may peanut,"In Podor and Dagana, hotdry is always for rice (in Podor there may be peanut too!)."
442,saed table hectare cultivate,SAED table is of hectares cultivated.
443,people suspicious production number might overestimate,Some people are suspicious of production numbers they might be overestimated.
444,cropping area likely accurate,"But for the cropping area, it s likely to be accurate."
445,either way saed option get datum,"Either way, SAED is the only option for getting data."
446,campaign year,In campaign years (e.g.
447,year probably exaggerate outside campaign year datum likely correct,"this year), you ll probably exaggerate; outside of campaign years, the data are likely to be correct."
448,extension service provide term information need,Extension services what s provided in terms of information and what s needed?
449,go delta zone miller base upper delta,"If you go to the Delta zone, most of the millers are based in Upper Delta and so on."
450,mill industry unevenly distribute,Milling industry is unevenly distributed.
451,need market information willing buy,"Need market information who s willing to buy, when and how."
452,use type thing saed isra ask kind rice quantity desire importer,"Used to have that type of thing with SAED and ISRA, asking what kind of rice and quantity desired by the importers (?)."
453,operational anymore even still need,"But that s not operational anymore, even if it s still needed."
454,information urban preference get farmer aroma length brightness rice consider quality prefer high income consumer," How does information about urban preferences get to the farmers? Aroma, length and brightness of rice is considered quality and preferred by high-income consumers."
455, national demand,This is 20% of the national demand.
456,majority urban consumer prefer broken rice,But the majority of urban consumers prefer broken rice!
457,last five year shift prefer local rice,During the last five years there s been a shift to prefer local rice.
458, chance try local rice enough reach outside local market dakar,Before they didn t have a chance to try local rice because there wasn t enough to reach outside local markets to Dakar.
459,high promotion local rice people urban city start like local rice,Now there s high promotion of local rice and people in the urban cities start liking local rice.
460,farmer get inform urban preference,How do farmers get informed about urban preferences?
461,yearly meeting farmer come dakar sell product way farmer srv bring local rice gauge preference,"There s a yearly meeting where all the farmers come to Dakar to sell their product, and that s a way that farmers from SRV can bring their local rice and gauge preference for it."
462,fiara farmer organization business day come dakar week present crop grow,FIARA: Farmer organization business day come to Dakar for the week to present the crops they grow.
463,way go seed producer well inform term market information,"The other way is, when you go to the seed producers, they re better informed in terms of market information."
464,produce variety consumer want,They only produce the varieties that consumers want.
465,unfortunately farmer much information preference,"Unfortunately, farmers don t have much information about preferences."
466,service inform farmer market preference cost resource isra program finance usaid promote local variety gather online information contact importer sell local rice importer importer want know type quantity rice available,"The service to inform farmers about market preferences cost resources; ISRA had a program financed by USAID to promote local varieties, to gather online information and contact importers (sell local rice BEFORE importers, so importers want to know the type and quantity of rice available)."
467,financing,But the financing is over!
468,djika,(Djika?)
469,one program naatal mbay still need farmer get information market condition,One of the programs in Naatal Mbay There s still a need for farmers to get information about market conditions.
470,many people get information cell phone computer many people literate," How many people can get information from cell phones and computers, and how many people are literate?"
471,would deliver information srv try give price information telephone manobi,How would you deliver information in the SRV? They tried giving price information through the telephone for Manobi.
472,manobi use online system information rice,Manobi used to be an online system for information about rice.
473,possible everyone phone,It s possible because everyone has their own phone.
474,advisor ancar ancar develop kind tool,Now we have e-advisors from ANCAR ANCAR is developing this kind of tool.
475,possible srv farmer literate example peanut basin,"This is possible because the SRV farmers are more literate than, for example, the peanut basin."
476,man woman phone though limit rural city true household,"Men and women all have their own phones though it s limited in rural cities, isn t true for all households, etc."
477,one phone per household belong man,If there s one phone per household it belongs to the men.
478,people might go km charge phone electricity still phone,"Some people might have to go 5 to 10 km to charge their phones with electricity, but they still have phones!"
479,people use whatsapp,Most people use Whatsapp.
480,coop buy one cultivar multiple time coop try common cultivar throughout season, Does a coop buy one cultivar or multiple? Most of the time coops try to have a common cultivar throughout the season.
481,sometimes farmer go easy get farmer go one cultivar,"Sometimes farmers go out on their own, but it s easiest to get all the farmers to go to one cultivar."
482,delta area characteristic,The Delta area has the same characteristics.
483,blue call delta,The blue is what they call the Delta itself.
484,low delta upper delta,But there s low Delta and upper Delta.
485,,(??)
486,something big irrigated scheme k irrigate hectare end delta area,"something about big irrigated scheme, 3 - 4k irrigated hectares are the end of the Delta area."
487,green moyenne vallee mid valley amont mid valley upper pink moyenne vallee mid valley aval mid valley low matam go high valley beyond pink bakel three zone would delta blue divide low upper middle valley divide upper green low pink high valley pink bakel delta divide upper east ross bethio richard toll limit dagana gaya bokal,"Green is Moyenne-Vallee (mid-Valley) - amont (mid-Valley-upper) Pink is Moyenne-Vallee (mid-Valley) - aval (mid-Valley-lower) After Matam you go to the High Valley (beyond the pink) up to Bakel Three zones would be Delta (blue, can divide into low and upper), Middle Valley (can divide into Upper (green) and Lower (pink)) and High Valley (from pink to Bakel) Delta divides into Upper EAST of Ross Bethio and Richard Toll, with the limit at Dagana, Gaya and Bokal (?)"
488,get faneye middle valley start delta divide low west ross bethio include rongo bundum,"(then you get to Faneye which is where Middle Valley starts) Delta divides into Lower WEST of Ross Bethio and includes Rongo, Bundum (?"
489,kwar st louis talk crop graph rainy season suppose main rice cropping season last five year shift hot dry rainy season much damage presumably weather pest,"), Kwar up to St. Louis __Talking about the crop graphs__ Rainy season is supposed to be main rice cropping season, but in the last five years they re shifting to hotdry because the rainy season has too much damage (presumably from weather or pests)."
490,bakel less rice less irrigation,Bakel has less rice because less irrigation.
491,tomato mostly dagana onion suppose podor dr fall confirm datum confirm expectation,Tomato is mostly in Dagana and the onions are supposed to be Podor (Dr Fall confirms the data confirm his expectations.)
492,saed bulletin publish every month enough datum record need,"SAED has a bulletin it publishes every month, but you couldn t have enough data from that to record what s needed."
493,write letter saed director embassy icrisat formal way would easiest get datum,"If we can write a letter to the SAED director through the embassy or ICRISAT in a formal way, it would be easiest to get those data."
494,dr fall get datum difficult incomplete result,Dr Fall can get the data but it s difficult to do with incomplete results.
495,saed divide delegation call upper delta,"SAED is divided into delegations which is what they call Upper Delta, etc."
496,saed suppose one collect datum srv work dapsa ag,"SAED is supposed to be the ones who collect the data in the SRV, working with DAPSA (ag."
497,stat ministry agriculture compile nationwide database,stats in the ministry of agriculture) to compile into nationwide database.
498,place like isra usaid might datum case study basis depend project,Other places like ISRA or USAID might have data but it s on a case study basis depending on the projects.
499,dr fall baseline study impact assessment naatal mbay,Dr. Fall did a baseline study and an impact assessment for Naatal Mbay.
500,program coordinator use colleague dr fall,Program coordinator used to be a colleague of Dr. Fall s.
501,pape ngoy,Pape Ngoy ?
502,value chain onion glut could predict,__Value chain__ Onion glut Could it have been predicted?
503,yes guess constraint cheryl mention real exist onion vc,"Yes, he guesses all those constraints Cheryl mentioned are real, they exist in the onion VC."
504,lot farmer pick onion economically profitable rice,Lots of farmers picked onions because it s more economically profitable than rice.
505,government support market regulation stop import onion local onion sell,There s also government support through market regulation (stopping import of onions until local onions are sold.)
506,law supply demand determine everyone flood onion price drop,"Law of supply and demand determines that if everyone floods onions, the price drops."
507,people claim regulation fail people import onion case,"People will claim that regulation is failing and people are importing onions, but that s not the case."
508,regulation put place commission go back miss kind board something,"Regulation is put in place by the commission (go back to this, I missed it, there s some kind of board or something.)"
509,agribusiness import really local either well technology storage,"But agribusinesses aren t importing, but they re not really local either they have better technology, storage, etc."
510,quality high import onion still squash little farmer,So the quality is as high as imported onions and they re still squashing the little farmers.
511,predict kind thing regulation encourage people produce regulation necessarily cover case,"We can predict that kind of thing because regulations encourage people to produce more, but the regulations don t necessarily cover all cases (e.g."
512,agribusiness,agribusiness).
513,holiday big demand onion thing sheep day,"Holidays have big demand for onion or other things Sheep Day, etc."
514,parameter could model predict demand timing supply decision decide produce regulation,All these parameters could be modeled to predict demand timing and supply decisions do I decide to produce because of regulations?
515,people buy prophet birthday,Do people buy because it s the Prophet s Birthday?
516,podor lead onion produce region problem everywhere different scale,Podor is the leading onion producing region but the problem is everywhere at different scales.
517,regardless region produce onion cold dry season storage infrastructure quality low require market consumer onion glut make life easy tomato grower,"Regardless of region, they re all producing onion in the colddry season and there s no storage infrastructure and the quality is lower than required at market by consumers Onion glut makes life easier for tomato growers!"
518,use plot onion space tomato,"If you use your plot for onion, you don t have space for tomatoes."
519,plot really small,Plots are just really small.
520,international market impact domestic onion price,International market impacts domestic onion price.
521,senegal get onion holland scandinavia france price taker price giver,"Senegal gets onions from Holland, Scandinavia, France they re price-takers not price-givers."
522,lot onion internationally produce lot locally shield price hike,"If there s not a lot of onion internationally and you re not producing a lot locally, you can t shield yourself from price hikes."
523,good local production onion increase world market competition unfair import onion high quality unless use local onion like,"If you have a good local production of onion and you have an increase in the world market, the competition is unfair because imported onion is higher quality (unless you use the local onion, like, NOW.)"
524,people know store import onion local onion,People know they can store imported onions but not local onions.
525,dr fall overheard lady complain local onion much water,Dr. Fall overheard ladies complaining that local onions have too much water.
526,well seed well management timely production finish onion rain hot dry might good,"Better seeds, better management, timely production if you can finish onion before the rains in hotdry, that might be good (??"
527,check,check this).
528,government highly intervene,Government is highly intervening.
529,subsidy policy reduce price seed fertilizer control import onion time x time try build storage infrastructure different zone improve storage quality onion invest irrigation structure sometimes farmer try fix price government play role facilitator allow farmer trader,"They do subsidies and policies to reduce the price of seeds and fertilizer, then they control the import of onions from time x to time y, and now they try to build storage infrastructure in all the different zones to improve the storage quality of onions, they invest in irrigation structure, sometimes the farmers try to fix prices and government plays role of facilitator to allow farmers, traders, etc."
530,set indicative price,to set some indicative price (?).
531,government intervention imply heavy far beyond information service nudge,"Government intervention is so implied and so heavy, far beyond information-service nudges."
532,dr fall think market regulation bad seeing deal small farmer need protection competition,"Dr. Fall thinks market regulation is not bad, seeing as you re dealing with small farmers who need protection from competition."
533,way reinforce capacity,It s a way of reinforcing capacity.
534,everyone grow onion,Why did EVERYONE grow onions?
535,profitable,Because it s profitable.
536,year condition really good onion expect market import stop,"But for this year, the conditions were really good for onions and you expect to have a market while imports are stopped."
537,people might well cropping onion use,Also now people might be better at cropping onion than they used to be.
538,onion less damage crop even though still weed stuff,"Onions you also have less damage than other crops, even though there s still weeds and stuff."
539,last year onion price high check hypothetical everyone switch onion,"Also, last year s onion price was high (check this, it s a hypothetical), so everyone switches to onion."
540,podor soil appropriate onion rice,Podor soil is more appropriate for onion than rice.
541,could saed prevent onion glut,Could SAED have prevented onion glut?
542,yes one mission give well information farmer,"Yes, it s one of their missions, to give better information to farmers."
543,able advise farmer crop base information market availability technology seed,"They should be able to advise farmers to do other crops based on information from the market, availability of technology for seed, etc."
544,lot information use advise farmer whether succeed crop,They have a lot of information they can use to advise farmers whether they ll succeed in crops.
545,farmer make ultimate decision,But farmers make the ultimate decision.
546,market regulation agency get world market information national agency demography statistic ancar extension ngo,"Market Regulation Agency gets world market information and National Agency for Demography and Statistics, ANCAR extension, NGOs, etc."
547,talk farmer,are all talking to farmers.
548,often glut occur,How often do gluts occur?
549,guess field see lot opportunity onion farmer world market grow onion production dr fall believe come year difficult produce lot onion price low compare farmer think,"You can guess if you re in the field you see a lot of opportunities for onions for farmers, the world market is growing onion production, Dr Fall believes this coming year will be difficult because they re producing a lot of onion and the price will be low compared to what farmers think it is."
550,,E.g.
551,podor onion region usually tomato onion think bad year lot people,"Not only Podor is doing onions but now regions that usually do tomato are also doing onions, so you think it ll be a bad year for a lot of people."
552,look world market see production increase,And you can look at the world market and see production is also increasing.
553,note tell hypothetical,[Note: I can t tell if this is a hypothetical or not.]
554,local onion production low farmer may benefit world market price,"But if local onion production is low, then farmers may benefit from world market price (?)."
555,yes think hypothetical later ask bet dr fall say need go collect information field world market price," > Yes I think this is a hypothetical, later when asked to bet, Dr Fall says he needs to go collect information about the field and world market price."
556,rice dr fall predict world market push self sufficiency covid people shift local rice farmer improve quality production rice next year local production rice demand,"FOR RICE, Dr Fall predicts that with the world market, the push for self-sufficiency and COVID-19, and how people are shifting to local rice and farmers are improving the quality and production of rice next year there will be more local production of rice and also more demand."
557,urban population increase daily migration rural urban last year good year demand increase urban market,"Urban population is increasing daily, also migration from rural to urban ( last year was not a good year ) and demand is increasing from urban markets."
558,however large part local production still go local consumption,"However, a large part of local production still goes to local consumption."
559,ir good cultivar sahel,IR-15 was a good cultivar before Sahel-108.
560,breeder choose sahel urban consumer,Breeders were choosing Sahel-108 for urban consumers.
561,want something local consumption,But they want something for local consumption.
562,sahel day short medium cycle,Sahel-108 is 90-105 days which is shortmedium cycle.
563,use produce zone consume local rice st louis urban consumer non produce rural consumer eat import rice,"It used to be the producing zone was only consuming local rice, St Louis etc., but urban consumers and non-producing rural consumers were eating imported rice."
564,gov use control aspect rice production equalization collect distribute amongst rural production area,Gov t used to control all aspects of rice production under equalization where it was collected and distributed amongst rural production areas.
565,urban consumer even know prepare local rice,Urban consumers didn t even know how to prepare local rice.
566,sahel part promotion story local rice far ia,"Sahel-108 was part of the promotion and story of local rice, which is not far from IA-1528 (?"
567,old rural cultivar,"), the old rural cultivar (?)."
568,recently cultivar release sahel still prefer amongst consumer rainfed producer kaolack casamance short cycle,"Recently 15 cultivars were released, but Sahel-108 is still preferred amongst consumers and rainfed producers in Kaolack and Casamance (because of its short cycles)."
569, suppose cultivar zone,It wasn t supposed to be a cultivar for those zones.
570,people start use isre isre really prefer sahel,People are starting to use ISRE-10 and ISRE-5 but they really prefer Sahel-108.
571,yield indicator choose sahel always ton ha,"Yield is an indicator of choosing Sahel-108, it s always between 5 and 6.5 tonsha."
572, ha potential yield,But it s 8 - 10 tha in potential yield.
573,even saed say farm never get ton ha,Even SAED says 6.5 because farms never get over 5 - 6.5 tonsha.
574,people say average yield srv dr fall doubt,"People say the average yield in SRV is 6.5, but Dr. Fall doubts it."
575,upper limit good farmer,6.5 is an upper limit of the best farmers.
576,conflict saed,This is a conflict he s been having with SAED!
577,improve cultivar catch,Why haven t improved cultivars caught on?
578,dr fall surprised people ask lot,Dr Fall is surprised too and people ask this a lot.
579,first paper africa rice impact sahel thirty year ago,"This was his first paper with Africa Rice, the impact of Sahel-108, thirty years ago."
580,second popular cultivar merica,"Second most popular cultivar, Merica (?"
581,heavily promote africa rice outside senegal mauritania guinea,"), is more heavily promoted by Africa Rice outside of Senegal (Mauritania, Guinea, etc.)."
582,senegal focused irrigate system might disqualify promotion,Senegal is so focused on irrigated system that it might disqualify itself from other promotion?
583,sahel sahel primarily use,Sahel-108 and Sahel-201 are primarily used.
