,sentence
235,"“Everything he (Magogo) is saying is what we can say on this panel in a different language including what every Cranes fan can say about the performances,” Ismail Dhakaba, anther journalist chipped in.
"
236,"Peter Eripet representing the Turkana County says that the Kenyan government has started steps for peaceful disarmament in Kenya.
"
237,"In districts that report low COVID-19 numbers like Kalaki, the vaccine will not be given to pregnant women who are not at risk of being infected with the disease.
"
238,"Meanwhile, the Chairpersons of the village peace committees in Karamoja region have demanded the government to do conduct a disarmament exercise.
"
239,"We leave it to Western academics and journalists seeking to purvey their prejudices about us, our leaders and our governments.
"
240,"Back here in Uganda, Joseph Masembe, the founder of Little Hands Go Green, a civil society organisation, says women bear the biggest brunt of climate change and its adverse effects because they are at the heart of usage of natural resources.
"
241,"The whole project is being funded by the government of Uganda and a loan from china through Exim Bank at a tune of $84.73 million (Shs 365 billion) over a five year period with the government of Uganda providing counterpart funding of catering for the local costs at an estimate of Shs 114 billion.
"
242,"According to a press statement released by the presidential press press unit (PPU), President Xi said that Museveni’s re-election means that Uganda will continue to make even greater achievements in materializing her vision on national development.
"
243,"She is one of the hundreds – could be thousands – of Karimojong children that have swarmed Kampala capital city and its busy suburbs, aggressively begging at traffic lights and during rush hour hold-ups.
"
244,"The government also intends to start rehabilitation and equipping of Milk Collection Centers around the country, as well as the construction of new ones in Mbale and Gulu, on top of helping dairy farmers acquire milk cooling plans.
"
245,"In collaboration with ministry of Energy and Mineral Development, 46 houses have been constructed in Buliisa for PAPs under the oil refinery resettlement project.
"
246,"The law will facilitate the implementation of Uganda’s obligations under the Host Government Agreement signed between Uganda, Tanzania and the East African Crude Oil Pipeline Company Ltd.
"
247,"Passed during the plenary chaired by the deputy speaker Anita Among on Thursday afternoon, the bill will enable the implementation of the local content and ensure that Ugandan citizens and enterprises are given priority when it comes to labor and other resources.
"
248,"Michael Longole the Karamoja regional police spokesperson tells KFM that women’s participation in the current disarmament is very helpful.
"
249,"Musa Mugerwa, dealer in e-waste at Kiteezi landfill, says that much of the waste is sorted in search of spare parts while some devices are burnt in search of copper wires.
"
250,"The Government of Uganda’s actions represent a continued downward trajectory for the country’s democracy and respect for human rights as recognized and protected by Uganda’s constitution.
"
251,"The come of Kibirige with his BMK company to build a hotel in Moroto made the value of property in Moroto to start rising.
"
252,"In addition, we maintain a dialogue with the representation of the UN High-Commissioner in Uganda.
"
253,"During the meeting, the minister gave an order for the arrest of the district secretary to the land board, Hadijjah Ssebyala and her colleague only identified as Eng Ssemakula, who were indeed arrested and taken to Njeru police division.
"
254,"He proposed that the situation can only be addressed if the government can open water channels from Akworo to Lala dam through Alungar and then another from Apuuton to Aolio so that water stops flooding people’s homes and gardens.
"
255,"“You cannot plan when prices keep changing,” George Buracweke from Kiruhura district told The Independent.
"
256,"When the Minority Rights Group International gathered representatives of these minority groups in Kampala on Oct.25, many spoke about the marginalisation and discrimination that they endure everyday.
"
257,"Coffee exports earn Uganda 634 million pounds per year according to asareca.org.
"
258,"She also noted that during the hearing of the matter, Kasango’s eldest son said that they were comfortable burying their father in Fort Portal.
"
259,"Tumwebaze said that the unnecessary trade wars in the region without evidence are a barrier to quality products noting that whoever is doubting Uganda’s milk should come and test it.
"
260,"A HarvestPlus compiled report has found that a five-year staple crops’ bio-fortification pilot project funded by the United States Agency for International Development (USAID) has improved nutrition and boosted the earnings of more than half-a-million farmer households in Uganda.
"
261,"When we reached Lugogo bypass, there were two 10-wheelers in front of us at terrible speed.
"
262,"Uganda’s crude oil from the Kingfisher and Tilenga projects will be transported through a 1,443-kilometer 897-mile heated pipeline for export through the port of Tanga in Tanzania.
"
263,"Interviewed for this story, Irumba, a widow and family bread-winner, said she is a hand-to-mouth worker who cannot keep home during this Covid-19-induced lockdown.
"
264,"In Uganda for instance, several stories of arrests of illegal wildlife traders have been highlighted in the media.
"
265,"The government has on several occasions tried to rehabilitate and resettle Karimojong children from Kampala to their home districts but on all occasions, the children have found their way back to the streets of Kampala according to the district leaders.
"
266,"Although the records show that the Makerere University graduate handbook requires that the appeal be concluded within 15 days from submission and a decision communicated within 14 days of its deliberations, the evidence before the court shows that the appeal was dismissed after seven months, which was outside the stipulated time.
"
267,"According to Fisheries and Aquaculture division at Food and Agriculture Organisation, Uganda produces 15,000 tonnes of fish aquaculture including production from small-scale, commercial fish farmers and stocked water reservoirs as well as minor lakes.
"
268,"My only interest as the leader of opposition is to see that Uganda is democratized.
"
269,"At least 13 candidates didn’t show up for their Primary Leaving Examination- PLE in Moroto district last month.
"
270,"Organized by the department of Marketing and Management at Makerere University under the mandate of the College of Business and Management Sciences, the students showcased innovative prototypes.
"
271,"Michael Longole, the Karamoja police spokesperson has confirmed Byayo’s suspension.
"
272,"The position has a huge field of contenders including Jacob Oboth (West Budama), Thedore Ssekikuubo, (Lwemiyaga County), Thomas Tayebwa (Ruhinda North) and Mawokota South MP-elect Yusuf Nsibambi.
"
273,"Government is targeting to achieve at least US cents 5 per KWh, especially for industrial consumers - a price, government argues, and power companies agree is necessary for the competitiveness of Uganda’s goods and services.
"
274,"The FAO representative in Uganda, Antonio Querido says Uganda is one of the 14 countries in Africa battling second threat of desert locust invasion.
"
275,"Muhindo said that Lumumba’s misinterpretation of the contracts coupled with the government secrecy around oil agreements calls for more transparency by the government.
"
276,"Through her lawyers of Centre for Legal Aid led by Isaac Ssemakadde, the widow contends that the deceased was an ordinary wood-cutting machine mechanic in Jilin Province, China until March 19th 2020, when he was trafficked into the country by traffickers disguising him as a tourist visiting Uganda for one month.
"
277,"He says that the poor compensation rates and failure to explain what each item costs are some of the concerns, which the six French and Uganda Civil Society Organizations (CSOs) namely Friends of the Earth France, Survie, AFIEGO, CRED, NAPE and NAVODA took to the French Supreme court against Total.
"
278,"The plan was to have the railway run from Mombasa port to Kigali via Kampala with a connecting line to Juba.
"
279,"Simon Lokut, a resident of Nakapelimoru sub county in Kotido district said that people found in possession of firearms should be punished.
"
280,"He appealed to Christians to emulate the Uganda martyrs who have over the years been celebrated for their display of courage, boldness and unshaken determination to stand up for their faith even in the face of persecution and death.
"
281,"After two years, he relocated to Nairobi Kenya where he has settled since 2010.
"
282,"Uganda is an annual recipient of this aid but this specifically went to the SFC.
"
283,"If Umeme was to close business today either due to cancellation of its 20-year concession or loss of business or any other circumstance, the government of Uganda would have to look for the money and pay Umeme.
"
284,"Magogo’s gripe with Cranes players was that the footballers are ungrateful to FUFA; insisting the availability of money in the current football environment should be something to be positive about.
"
285,"Mr. John Nangiro the district LCV chairperson of Nakapiripirit hailed SEAL organisation for supporting the former cattle rustlers.
"
286,"But the biggest damper on the colourful signing ceremony at State House Entebbe was its timing.
"
287,"I decided to visit Uganda for business prospects.
"
288,"“While Uganda’s debt level remains at low risk of debt distress, directors caution that debt metrics had weakened, some investment projects may not generate the envisaged return, and interest payments are rising,” said an IMF statement.
"
289,"These murders have swelled into such a national conundrum that Gen Museveni has decided to name call the murderers 'pigs' in his lamentations whenever a person is murdered but he was quick to praise the 'pigs' who were on Kampala streets on live coverage butchering innocent Ugandans with impunity.
"
290,"“We also started coaching services for farmers across Uganda two years ago.
"
291,"Mathuki on his part says urges the business community to push for public-private partnerships, saying that this is what has boosted trade between Kenya and Tanzania.
"
292,"The National Organic Agricultural Movement of Uganda-NOGAMU says the global market for organic products is estimated at 100 Billion dollars annually, with Uganda’s current exports earning just 60 million dollars each year.
"
293,"Uganda’s ambassador to Washington, Mull Sebujja Katende, told Foreign Lobby Report that the lobbying aims in part to challenge the narrative from rights groups and supporters of rival candidate Bobi Wine that the government violently suppressed the opposition to ensure Museveni a sixth term in office.
"
294,"Muliisa said while the government has prepared for production that will generate significant revenues, it has already demonstrated it is able to fight for and attain what Uganda is entitled to.
"
295,"He says the area has been under constant invasion by bandits from South Sudan and neighbouring Karamoja, adding that punitive measures such as long jail terms would act as a deterrent to others.
"
296,"The roads approved for construction in the first phase include Janani Luwum, Lakidi, Philip Adonga, Kitgum Road, Tom Apila all in Central Division, Oneka Road, and Aya Hellen Dean in Pandwong Division.
"
297,"There are plans to construct a Central Processing facility from Buhuka on Lake Albert to Kabale where the Refinery will be located.
"
298,"The population of Uganda is 44 million.
"
299,"At the outset, I wish to note that relations between Uganda and the European Union (EU) are both historical and strong.
"
300,"The drop is realized despite a study by the World Bank that ranked Uganda and Seychelles as the only countries in Africa charging close to cost reflective tariffs.
"
301,"The Hippos, the football management team and the Federation of Uganda Football Associations need to be appreciated by Ugandans and the government of Uganda.
"
302,"Around 2.4 % of children in Karamoja are severely malnourished – an increase from 1.9% in 2021.
"
303,"Once the Explore Uganda brand successfully presents the things that are Uniquely Ugandan; Tourism will be possible in almost every region and every community in Uganda unlike the present norm of national park based tourism.
"
304,"President Yoweri Museveni has told the people of Kiruhura and Kazo to stop lamenting about bad roads in the districts as the cause of their poverty but instead focus on doing things that will improve their household incomes.
"
305,"According to the June-September outlook for Karamoja published by USAID’s Famine Early Warning Systems Network (FEWSNET), above-average rainfall forecast from April to September is expected to support a timely start to the harvest in July.
"
306,"In just five years from today, climate change consequences in Uganda will be unbearable.
"
307,"The long-awaited Financial Investment Decision for Uganda’s oil industry was announced today, and raised hopes of the country finally benefiting from its resource.
"
308,"The gathering at Kololo also witnessed a military fly-past and an acrobatic dropdown of the UPDF commandos.
"
309,"According to the 2022 Uganda Bureau of Statics annual agricultural survey, about 7 million households in Uganda cultivate land or rear livestock.
"
310,"Goodwill gives us the best idea on how to construct industrial policy in Uganda.
"
311,"Climate activists in Uganda have expressed optimism about a draft resolution recognizing the human right to a clean, healthy and sustainable environment that is expected to be voted on by the UN General Assembly this week.
"
312,"The North Indian Cultural Association (NICA) has also rendered tremendous support to the cause, aimed at offering free eye health care to the people of Kamuli and the surrounding communities.
"
313,"According to the Bank, the GDP, which is the total monetary or market value of all the finished goods and services produced within a country’s borders in a specific time period, is no longer used to determine the status of the economy, but the Gross National Income-GNI, which considers GDP plus economic activities undertaken outside the country by Uganda nationals, excluding activities of foreigners resident in the country.
"
314,"Over 73,500 people are set to benefit from Shs 88.8 billion Social Finance Model which aims at fighting child labour in Uganda.
"
315,"Speaking at the launch event in Kisubi, the MTN Senior Manager for the MTN foundation, Brayan Mbasa Said “A child’s formative years are very crucial and with a disability they are faced with numerous challenges which is why we found it prudent to step in and give them a life changing opportunity that can be provided by modern medicine.
"
316,"But the largest bank in Uganda, Stanbic Bank, which had bought UCB, had only 300,000.
"
317,"He said the Minister, Matiya Kasaija and Permanent Secretary Ramathan Ggoobi would explain Uganda’s latest position when they return from the IMF/World Bank meetings later his week.
"
318,"Kabarole district speaker, Timothy Ruwheza says that the issue involves prominent people in government.
"
319,"Kodet says that there has been tension between the Teso and Karamoja community over the issues of boundaries and this prompted them to advocate for a detachment, however it’s unfortunate that soldiers have turned to killing their own people.
"
320,"1972 was the year in which “God appeared to” dictator Idi Amin and instructed him to rid our lands of 50,000 Asians that, in his words, had as “their main interest” to “exploit the economy of Uganda and Ugandan Africans.
"
321,"Poor infrastructure such as the bad road network in the region was among the issues raised by the Woman Member of Parliament for Kiruhura District, Jovanice T. Rwenduru which the President believes is necessary but not an impediment to improving household incomes.
"
322,"The minister disclosed that in 1972, the Uganda government and WFP signed an agreement on strategic food support which still exists; the school feeding programme is one of the current components of the agreement.
"
323,"Besides the Computer Misuse (Amendment) Act, Museveni has also assented to the Kampala Capital City (Amendment) Act, 2022, the Mining and Minerals Act, 2022, and the Physical Planners’ Registration Act, 2022.
"
324,"Uganda is looking to expand its exports to one of the biggest coffee markets in the world, Turkey.
"
325,"The incident sent some residents of rebel-held territory fleeing to safety across the border with Uganda.
"
326,"Kaabong district chairman Jino Meri said the general insecurity in Kaabong and Karamoja sub-region at large is worrying.
"
327,"“The condition of life in Karamoja is not easy, someone of 60 years is just like one of 80.
"
328,"“South Sudan and Uganda representatives are committed to providing an enabling good trade environment for their people and business to flourish.
"
329,"Maximus Ochai, West Budama North County MP called for affirmative action in the education grants and bursaries for the needy saying that the students loan scheme presupposes that all can afford to pay it back.
"
330,"We have introduced palm oil in Kalangala and it’s doing well there.
"
331,"Similar arguments have been advanced to explain the renewed tensions and outbreaks of insecurity in DRC’s Eastern region, renewed hostilities between DRC, Rwanda and M-23 and the EU’s renewed interest in Africa’s vast mineral resource wealth.
"
332,"And according to the June 27, 2022 data published by the Global Petrol Prices website, Uganda has the highest cost of fuel in the East African Community (EAC).
"
333,"Uganda is a multicultural country in East Africa whose diverse landscape spans from the beautiful snow-capped Rwenzori Mountains to the vast Lake Victoria, and the Source of the River Nile.
"
334,"In one investigation, Mack found that the Uganda Police Force has used the system for hacking into mobile phones since 2017, and though the use of Cellebrite in Uganda had been secret until now, “a local company in Uganda made public that it supplies to the police there the UFED system capable of hacking through protection of mobile devices, gathering information from them and restoring information that has been deleted,” Mack wrote in his letter to the ministry.
"
335,"In the first month of tolling, frequent users of the road are incoming and outgoing air passengers, taxi operators, visitors and Entebbe residents.
"
336,"Uganda, like many countries around the world, is experiencing a rapidly worsening outlook for its economy,underpinned by rising food, fuel and essential commodity prices, heightened financial volatility, sustainable development divestment, and complex global supply chain reconfigurations and mounting trade costs.
"
337,"According to World Bank’s Global Economic Prospects Report, Uganda will not escape the slowdown in global growth that has been steepened by Russia’s invasion of Ukraine and its effects on commodity markets, supply chains, inflation, and financial conditions have steepened.
"
338,"Effectively, the conflict had escalated in the area engulfing hundred others along with Aketo.
"
339,"Promoters of the festival argued that it was aimed at developing the culture and music industry in Uganda by creating platforms for upcoming artists.
"
340,"Uganda is the second-largest African producer and seventh-largest producer globally of coffee beans, producing both the Arabica and Robusta variety.
"
341,"He also talks about the supermarkets closing too early, yet Ugandans need to access shops that open until about 10pm in the night and not 8pm like was the case with Game retail stores, the South African supermarket chain which recently announced it was leaving Uganda.
"
342,"A partnership with Jumia, the leading e-commerce platform in Africa, has increased clients and market beyond Uganda.
"
343,"Rev Nasak noted that at the height of the rebel Lord’s Resistance Army-LRA activities in Northern Uganda Karamoja also hosted many neighboring families from Lango and Acholi.
"
344,"Many people come from all over the region – South Sudan, DR Congo - to buy goods in Kampala.
"
345,"Among those things was the night life more so in Kampala that the Ugandan community has been wallowing over due to the Covid-19 lockdowns.
"
346,"Nambi adds that the district needs to formulate regulations to guide the sand mining business, have an EIA and also register all the people extracting the resource in the area so that they can be able to pay taxes to the district.
"
347,"In addition, it has severally been reported that more than 100 guns recovered in the ongoing Karamoja operations had markings of UPDF and Police.
"
348,"He further told officers to maintain operational momentum especially in Kotido district for peace to prevail in other districts.
"
349,"China National Offshore Oil Corporation is also implementing its investment of 4.7 billion U.S. dollars in Uganda’s oil sector which would help stimulate the country’s economic development, experts say.
"
350,"President Museveni noted that Uganda wants to trade with Russia, adding “ we want to trade with all countries of the world.
"
351,"Dr. Aceng, the Health minister, was back on social media to calm the nerves of the public, especially those living and working in Kampala.
"
352,"The warning was issued on Friday during handover of two guns which suspected Turkana cattle rustlers took away from two UPDF soldiers killed alongside three officials from the Ministry of energy in Lotisan sub county Moroto district.
"
353,"The ceremony was characterized by fun fare including a parade match past in slow and quick time mounted by the officers of the Uganda People’s Defense Forces (UPDF), Uganda Police Force, Uganda Prisons Service and Uganda wildlife authority.
"
354,"In the high production areas of southwest Uganda, farmers will integrate trees that support and enhance their production systems and value chains.
"
355,"Zhang Lizhong, Chinese ambassador to Uganda, said at a recent press conference that over the past 60 years, the two countries have been journeying a path towards development and revitalization amid complex global challenges.
"
356,"President Yoweri Museveni has commissioned a $15 million Kinyara Industrial Sugar Refinery plant in Masindi district.
"
357,"Christine Apoko, 42, a farmer in Omiya Anyima sub-county who was diagnosed with cataract three years ago, said she had not been operated on because of the expenses attached to the procedure.
"
358,"Bashir Twesigye, the executive director of Civic Response on Environment and Development (CRED), a Kampala-based civil society organisation, says the government’s disaster risk response remains inadequate.
"
359,"In Maracha it is 2 acres while in Agago it is 8 acres.
"
360,"NAGRC & DB operates 15 Animal Genetic Resource Centers (AnGRCs) located in all the regions of Uganda.
"
361,"Located in southwestern Uganda, Bwindi Impenetrable is popular for being home to more than half of all mountain gorillas on Earth.
"
362,"According to Onoria, the District Security Meeting resolved that government employees attached to offices outside Kotido municipality will now report to work by 10am and leave by 2pm for their own safety.
"
363,"According to the National Agricultural Advisory Services (NAADS) website, Cocoa is Uganda’s fourth-biggest ‘agricutural’ export after coffee, tea and fish.
"
364,"Musenero had earlier revealed to parliament that acquiring each of the four mice cost Uganda about Shs8million but now explains that prices are determined by circumstances at the time explaining that at the height of the pandemic when there was a rush by scientists across the world to start trials, mice were very hard to get which drove cost high.
"
365,"In 2019, it says, formal exports from Uganda to its neighbor were worth 156 million USD but informal exports were even greater, worth 330 million USD.
"
366,"PRB, which has produced population statistics since 1962, shows that Uganda has 685 people per square kilometer of arable land.
"
367,"The 1995 Constitution mandates UPDF to defend and protect the sovereignty and territorial integrity of Uganda and ensure non-violability of peoples’ rights.
"
368,"Without good governance underpinned by rule of law, good governance, accountability, transparency, genuine and informed public participation and respect for human rights, the little oil money Uganda will get compared to the mammoth profits Total Energies will reap, will elude Ugandans.
"
369,"Moreover, a French court imposed a €12m fine on the company over financial irregularities relating to a port concession in Togo.
"
370,"Micheal Longole, the Karamoja regional police spokesperson said that, “We have opened up a general file and we are investigating the circumstances under which the goats were poisoned,” he said.
"
371,"They were identified as Patrick Obwona, two-year-old Ramsey Rwot-Twero, Joanna Acen and Charles Olweny Langoya, all residents of Nyimur sub county in Lamwo district.
"
372,"“In Uganda we’ve got real partners because you bring new skills, new energies and find our own indigenous energies and the combination is a big achievement.
"
373,"One of the first rules I encountered at Budo was not to walk on grass, especially the quadrangle lawns.
"
374,"The army has intensified operations in Karamoja to counter the resurgence of cattle rustlers who are now said to be on a rampage - stealing animals and killing people in their wake.
"
375,"Many of these products are the ones that have been in surplus in Uganda.
"
376,"Museveni is optimistic that once production increases, Uganda's refined sugar will have a ready market both locally and throughout East Africa whose demand for industrial sugar is 150,000 metric tons.
"
377,"Uganda is ready and able to contribute.
"
378,"Felly Lydia Akullu, a student at Makerere University, said, “Before the economy tightened, Shs 50,000 used to take me for 10 days.
"
379,"If not adequately controlled, Ebola may spread beyond Uganda.
"
380,"Based on this, the big GM seed and products companies that are set to dominate the Kenyan market will equally dominate the Uganda market whether President Museveni signs the GMO Bill into law or he does not.
"
381,"The entry of Saudia brings to 17, the number of international flight operators at Entebbe.
"
382,"In order to deliver on its public commitment to center human rights in US foreign policy, the Biden administration needs to hold partner nations, like Uganda, to account for rights violations.
"
383,"In written observations shared with VOA by email, he called for “a verifiable and enforceable conflict reduction initiative between Congo and its neighbors — starting with Rwanda” and “an inclusive democratization process in Congo.
"
384,"Ruth Nankabirwa, the minister for Energy and Mineral Development, has said that as parliament waits for President Museveni to assent to the new Mining and Minerals Bill 2021, it won’t stop them from developing the rare earth metal mining project in Busoga region using the old bill.
"
385,"Denis Soyet, the Sundet Sub County LC 3 Chairperson, said that the irrigation scheme at the nearby Ngenge sub county only benefits a few people.
"
386,"By his admission, the roads in Rwanda are smooth, clean and inviting and with no traffic police officers in sight; a motorist can be tempted to hit maximum speeds but he had been warned of camera towers and the strict traffic rules in the country.
"
387,"Based in Luweero, a group of youth is taking lead in the modernization and commercialization of Agriculture.
"
388,"The bank had been profitable from 1965 to 1987 except for 1978 when their buildings in Masaka were destroyed in the Tanzania war.
"
389,"China provided financial resources and technical support, such as hands-on trainings and on-site demonstrations that enabled farmers in Uganda to improve the technologies used to produce rice, foxtail millet, maize, grapes, apples and cherry tomatoes as well as for animal reproduction (e.g.
"
390,"goats, pigs, sheep and fish).
"
391,"Even when we come to the last five years (2016-2020), Uganda was the 27th fastest growing economy in the world; in the last ten years (2011-2020) it was the 33rd fastest growing economy in the world.
"
392,"This, she expounded, was is in line with the government’s campaign of “Buy Uganda, Build Uganda.
"
393,"The two are followed by South Sudan with 5.6 per cent and Kenya which is expected to grow at 5.2 per cent and Tanzania with 5.1.
"
394,"Most of the tankers coming to Uganda and the region load the fuel a few kilometres away from the Uganda border.
"
395,"To avert famine in Karamoja, Among also advised that focus should be moved to mindset change of the people in Karamoja.
"
396,"The UN team needed to know if some of the people it considers criminals had either run to Uganda or were doing business there.
"
397,"Karamoja is one of the regions that has been impacted by food insecurity for decades even before independence.
"
398,"Jane Nalunga, the executive director of Southern and Eastern Africa Trade Information and Negotiations Institute (SEATINI), set the tempo of the conference when she drew parallels with the economic crisis in Sri Lanka that resulted into a popular uprising that toppled President Gotabaya Rajapaksa.
"
399,"This follows the public outcry of Members of Parliament from Karamoja about the severe hunger in the sub-region that has even resulted in some deaths.
"
400,"This was announced during a presser by President Museveni and visiting Russian Foreign Minister Sergey Lavrov at State House, Entebbe.
"
401,"Langoya said Uganda already has two types of bamboo.
"
402,"For instance, the government of Uganda has stated that a significant source of our current inflationary pressures (I would like to know what percentage) is caused by factors beyond our borders – that is to say, it is imported inflation.
"
403,"Uganda Development Bank (UDB), the country’s national Development Finance Institution in partnership with Ensibuuko, European Union, United Nations Capital Development Fund (UNCDF) and Food and Agriculture Organization (FAO) has launched a Fintech solution dubbed AgriConnect to ease access to digital financing for smallholder farmers in Uganda.
"
404,"Interviewed for this story by The Observer, Julius Mukunda, the executive director of the Civil Society Budget Advocacy Group (CSBAG) attributed the defects in Uganda’s Chinese projects on the conditions pegged to financing.
"
405,"Cheptalal Sewareng the woman councillor Lokales subcounty said that FGM is the basis of GBV and that the only way to curb GBV, FGM needs to be addressed first.
"
406,"Sylvia Awas, the woman Member of Parliament for Nabilatuk district, highlighted the serious retaliations taking place between the Pian and Pokot communities, leading to heightened insecurity.
"
407,"Nabbanja said that the public outrage about the iron sheets was unnecessary because the majority of iron sheets that have been disbursed reached the intended beneficiaries save the few for Karamoja where the line Minister should answer where she diverted them too.
"
408,"Muhumuza also noted that pharmaceutical manufacturers in sub-Saharan Africa are largely clustered in just nine of the 46 countries including Uganda, and they are mostly small, without operations that meet international standards.
"
409,"Last year, the residents of Napak district suspended the use of oxen for ploughing over fears of being attacked by suspected warriors.
"
410,"The government stated that this assault was part of an operation to stop militants who had attacked police posts in Kasese and were allegedly aided by royal guards.
"
411,"Uganda’s once-thriving cotton industry, a significant source of income for around 250,000 households, is facing a grim future.
"
412,"The launch was designed to include a number of activities including an informative workshop where participants take part in an educational session on the history of bananas in Uganda, the country’s banana biodiversity and the benefits of conserving it.
"
413,"Critical sectors such as health – and departments like the cancer institute in Mulago – had witnessed budget cuts as government tried to stay afloat.
"
414,"“In our discussions on the operation strategy of pacifying Karamoja, one of the areas we indicated was focused on civil military cooperation because we thought that military operations will not go far unless we were doing it with the leadership out there especially when we started getting some of them in these criminal acts of stealing cows or even rustling,” Gen. Mbadi said.
"
415,"In December 2021, the Parliament passed a supplementary budget worth 39 billion shillings to support various programs in Karamoja.
"
416,"The lawyers under their umbrella organisation-the Catholic Lawyers Society International, (CLASI) made the pledge at the launch of their activities at St. Augustine Institute Chapel in Nsambya.
"
417,"Speaking on behalf of other CSOs the coordinator of Right to grow Gerald Kato said the commemoration of the world food day comes at a time when 23 percent of children below 5years in Uganda are stunted and 300,000 children are obese and will never leave to their full potential.
"
418,"The minister is accused of dealing with 2000 suspected stolen iron sheets meant for the vulnerable people of Karamoja.
"
419,"Minister Lugolobi' sympathizers camp at the Anti Corruption Court in Kololo ahead of the court session this afternoon.
"
420,"@UrbanTVUganda @newvisionwire #VisionUpdates #MabaatiScandal.
"
421,"He added that they plan to open another security road from Odom to Orom sub county in Kitgum district, which will further ease the movement of the security to pursue the warriors.
"
422,"Mao says Uganda is a signatory to several international human rights conventions, including the African Charter on Human and People’s Rights that prohibit the trial of civilians in military courts.
"
423,"Liu Xiangdong, the president of CNOOC Uganda Limited, emphasized the company’s steadfast dedication to education, capacity building, and the development of national content in Uganda.
"
424,"Simon Peter Lotem, the Nadunget Town council LC 3 chairperson in Moroto district said the government should not mess up the exercise by involving political leaders but instead use the OPM to manage it.
"
425,"Inflation in Uganda was part of the global situation that followed the high demand for goods and services after economies reopened from the COVID-19 pandemic, and this was worsened by the Russia-Ukraine war which further disrupted supplies around the world.
"
426,"He noted that although subsistence farming currently dominates agriculture in Uganda, the sector has great potential to drive major economic growth and lift millions of people out of poverty.
"
427,"The 2020/2021 transparency report on Uganda, the second, launched Friday, was prepared by DT Global in consortium with BD LLP and VJW Consulting Ltd appointed by the EITI secretariat in Paris as Independent Administrator.
"
428,"“Human rights in Uganda under article 20 of the Constitution are inherent, and not granted by the state.
"
429,"According to Mabirizi, the constitution provides for several ways of punishing such politicians by either way terminating their appointments, recalling them from their offices, and asking them to return such property failure of which should lead to civil proceedings against them but not criminal proceedings.
"
430,"I joined a comedy club in Centenary park, and before long, I started going for comedy competitions like Uganda’s Next Top Comedian and slowly I kept on growing and improving my craft.
"
431,"Now one needs to visit the border towns of northern Uganda especially cities like Gulu, towns in the Teso sub-region that not long ago were struggling against the LRA and Lakwena, and appreciate how peace and security foster development.
"
432,"The president used the occasion to allay fears that the oil being developed by Uganda may not be marketable given the debate to shift from fossil fuels to cleaner energy options.
"
433,"To own these things — most of them concentrated in Buganda — meant bankrupting the most industrious and richest part of the country, which historically remains the centre of economic, political and cultural production.
"
434,"At a time like this most farmers should be opening their gardens in preparation for first season planting, but majority of smallholders farmers in Nwoya district like Rackara are still anxious on what to do after counting complete losses in growing groundnuts to prolonged dry spell which extended up to the month of May of 2022.
"
435,"China square has been in the news for committing the heinous crime of selling its wares way cheaper than Kenyan traders, prompting action from Kenya’s cabinet secretary for Trade.
"
436,"According to Aguma, in Buvuma, the government through the National Forestry Authority (NFA) is working with locals to open boundaries and mark central forest reserves.
"
437,"“I think when it is your day, it just is your,” says Rukundo, explaining how an earlier arrest in Kalangala, had taught these women to be cautious and not to deal with people they did not know.
"
438,"Kifampa also asked the president to apologize to Ugandans for his alleged failure to fight corruption in Uganda in relation to the Karamoja iron sheets saga that several ministers and other senior government officials are implicated in, gun violence, and plans to revamp the economy among others.
"
439,"Kiberu, a former teacher said he started teaching at the age of 14 before he would later on in life establish Light College Katikamu in Masulita, Wakiso district.
"
440,"In his view, achieving middle-income status in Uganda is impossible as long as the government and the public are mired in corruption.
"
441,"Lady Justice Margaret Tibulya In Uganda v Lwamafa Jimmy & 3 Ors (Criminal Session 3 of 2016) [2018] UGHCACD 11 on when diversion of public resources occurs states that the following must exist; 1.
"
442,"Adero also hoped that the factory would provide job opportunities to the reformed warriors who have been terrorizing people due lack of income-generating activities.
"
443,"This follows the arrest of five cattle traders on August 25, 2023, at the Chepsikunya security checkpoint with stolen cows.
"
444,"Following his visit to Uganda, President Raisi is expected to continue his tour by visiting Zimbabwe.
"
445,"The EACOP will have the capacity to pump up to 230,000 barrels of crude oil daily down a specially designed 1,443km-long ‘smart’ pipe from western Uganda to the Indian Ocean coastline of Tanzania.
"
446,"He said the same bidders who worked in Soroti and other USMID projects bided for the Kampala road works but were not the lowest.
"
447,"The HESFB’s primary mission is to provide loans and scholarships to Ugandan students who qualify for accredited courses at recognized higher education institutions in Uganda but face financial constraints.
"
448,"Moses Muteesa, the chairperson Wankulukuku livestock cooperative society in Kampala told URN that the government should suspend livestock markets if they want to deal with the problem of commercialized cattle raids.
"
449,"NTV Uganda, a free-to-air TV channel, has been a significant part of Ugandan broadcasting for over ten years.
"
450,"Tensions between the two countries were exacerbated when Rwanda, on January 24, 2023, shot at a Congolese fighter jet, accusing the Congolese army (Forces Armées de la RDC, or FARDC) of violating its airspace.
"
451,"Wawoo, this after sale service is not common in Uganda.
"
452,"The government allegedly lost some $150m (£95m) in various scams during the 2007 Commonwealth Heads of Government Meeting (Chogm) in Kampala.
"
453,"Uganda and Singapore have visa reciprocity, but Singaporean authorities had concerns.
"
454,"’ State Minister for Agriculture, Fred Bwino, made this revelation on Wednesday while addressing farmers in Nwoya district.
"
