,sentence
231,"The trade disputes between Tanzania and Kenya, which are the biggest economies in the region, have also spilt into livestock and the tourism sectors.
"
232,"Contestants from Kenya and Catriona Gray of the Philippines also were in the final five.
"
233,"Researchers at the National Agricultural Research Organisation say the pest, which is suspected to have come from Kenya, could have entered into some farms although they could not confirm how far it has reached.
"
234,"[Kidepo national park shares borders with Kenya and South Sudan.
"
235,"Kenya is not regarded as a least developed country; so, it would have to battle increased tariffs on its products destined for Europe.
"
236,"Kenya’s industrial and consumer demand, economic growth, relative poverty as well as the current grid and distribution network simply do not support this magnitude of power generation at such exorbitant costs.
"
237,"This is despite Kenya and Tanzania, which are the biggest economies in the region, having a minimum wage policy.
"
238,"Kenya’s men side and Egypt’s women have no such concerns, following their triumph in the six day tournament at the MTN arena.
"
239,"Raphael Omondi, the education and outreach liaison officer, WAP, said in Kenya, they steal donkeys daily for their skin.
"
240,"Kenya’s cost is about $7.7m per kilometer on the Mombasa-Nairobi leg.
"
241,"It turned out that my community in northern Kenya had been right all along: pastoralists’ livestock-husbandry practices are well adapted to dryland conditions, and pastoralism is a viable land-use option that can make sustainable use of dispersed resources.
"
242,"They hoped their harvest could be exported to neighbouring Tanzania and Kenya for a better pay.
"
243,"Nairobi, Kenya | AFP | Despite long-standing restrictions, new weapons have continued to reach South Sudan’s battlefields, often via neighbouring countries, a detailed report by an arms monitoring group said Thursday.
"
244,"After the election violence in Kenya, the government injected about $10 million in image promotion to reassure the world that it was a one off incident and it was over.
"
245,"However, Kenya, which has a more robust tourism sector in the region besides Tanzania, recorded US$1.2bn in earnings compared with US$989 million in the previous year as a result of a 9.8% growth in international tourist arrivals to 1.4million.
"
246,"Franked by Kenya’s deputy President William Ruto, Dr Yonas Tegega Woldemariam, the World Health Organisation (WHO) country representative, and an adviser at Food and Drug Administration (FDA), Health Minister Dr. Jane Ruth Aceng, and Dr Monica Musenero, the Minister of Science, Technology and Innovation, the president warned government officials against sabotaging Mr. Magoola.
"
247,"The World Cross Country Championship 2023 will also attract other athletes from Australia, Ethiopia, Kenya, Burundi, Canada, Brazil, Egypt, Eritrea, Spain, New Zealand and China among others.
"
248,"But a decade later, little progress has been made and the pastoral communities of northern Kenya continue to grapple with water scarcity problems.
"
249,"He splits his time between Berkeley, California and Nairobi, Kenya.
"
250,"In Kenya, Jomo Kenyatta, the founding father of Kenya, groomed his son Uhuru Kenyatta before he passed away in 1978.
"
251,"Onesmus Kipchumba Murkomen is one of those who have supported efforts aimed at improving infrastructure between Kenya and other countries.
"
252,"In Kenya, Atul Shah, the Nakumatt managing director, said the branch culling strategy will start with sub-optimally performing branches whose lease contracts are due for renewal to be followed by branches in poor locations.
"
253,"He said that in Turkana County in northern Kenya, sorghum crops with around 15 to 20 percent damage to the yield linked to the pests had been reported.
"
254,"To date, Kenya reportedly has memoranda of understanding with Russia, China, South Korea, and Slovakia which involve the building of four nuclear power plants with a total output of 4,000 MW.
"
255,"Other contributors are Djibouti, Ethiopia and Kenya.
"
256,"But their estimates point to 80% of lightweight polythene shopping bags used in the country being imported from Kenya.
"
257,"In the wake of yet another tragic terrorist attack in neighbouring Kenya, Ugandans need to take serious stock of our own security precautions.
"
258,"With the loss of visitors came a sharp fall in aeroplane flights, which disrupted exports of Kenya’s high-value fruits and vegetables.
"
259,"In Nairobi, at the time, Blinken met with Kenyan President Uhuru Kenyatta and Cabinet Secretary for Foreign Affairs Ambassador Raychelle Omamo, to affirm their “strategic partnership with Kenya”.
"
260,"The President, who was accompanied by Cabinet Secretaries Eugene Wamalwa (Devolution), Simon Chelugui (Water) and John Munyes (Mining), said Kenya will develop amenities including schools, dams and health centres on its side of the common border that will be accessible to all communities in the cluster.
"
261,"Three years ago, in 2019 Kenya became the first country in the East African region to grow a genetically modified crop when it approved commercial farming of Bt cotton; a variety of cotton that is resistant against the devastating African Bollworm.
"
262,"In western Kenya we are receiving moderate rains apart from the lower part of the lake region which is a bit drier which are areas around Lake Victoria.
"
263,"The 1960s ushered in the development of educational authorship, with the coming up of publishing firms mostly from Britain and based in Nairobi, Kenya.
"
264,"It has attracted exhibitors from at least 20 countries, including Nigeria, Thailand, Kenya, Ghana, South Africa and Sudan.
"
265,"However, locusts continue laying eggs in Kenya, Somalia and Ethiopia.
"
266,"Nandutu says the government is working with Kenya to ensure peace prevails in the Karamoja region.
"
267,"StarTimes has also pushed local programming, with a commitment to collaborate with local content owners and producers across the continent, focusing mostly on the Kenya and Nigeria markets.
"
268,"The Al Shabab was running riot in northern Kenya, posing a security risk to whatever infrastructure that was planned.
"
269,"Kenya banned GM crops in 2012.
"
270,"Stressing Kenya’s vulnerability and water insecurity caused by erratic rainfall patterns and the influence of climate change, Kenyan officials at the forum said more research and investment is now needed to identify and understand groundwater aquifers to improve capacity for their monitoring and assessment.
"
271,"So the spotlight will be on Kenya while labour rights violations in the U.S. are likely to be swept under the carpet.
"
272,"The search for both a cure and a vaccine for the coronavirus has intensified around the globe, including in Kenya, as medical researchers race to find the elusive remedy.
"
273,"He explained that the Karamojong cannot sleep at night and that they are also failing to herd their cattle because of cattle rustling by warriors from neighboring Kenya, including the Pokot, Toposa, raiders from Somalia and South Sudan.
"
274,"It noted that Kenya’s maximum power demand would “grow 72% to 2,259MW by 2020 from the current 1,620MW, when projects such as the standard gauge railway start operating fully”.
"
275,"They include Ivory Coast, Kenya, Cameroon, DR Congo, Cape Verde, Djibouti, Egypt, Ghana, Lesotho, Morocco, Mauritania, Sudan, Senegal, South Sudan, São Tomé and Principe, Swaziland and Zambia.
"
276,"Over the same period Kenya exported to the U.S. items worth US$566 million, Ethiopia US$206 million, Chad US$2,328, and South Africa US$8,307 million.
"
277,"Armed with a hand-drawn map of the routes I was to take to get to my hotel – courtesy of my sister who got married in Kenya – I headed for the city but got lost anyway (for the second time during my visit) because the matatu dropped me at a spot that was not on my map.
"
278,"Nairobi, Kenya | AFP | The African Union has asked Burundi to reduce its contribution to an African peacekeeping force in Somalia by a thousand men under a progressive pullout from the country by the AU.
"
279,"But Kenya and Tanzania already have their own refineries and cheap sources of oil while Sudan is planning its own refinery.
"
280,"Compared to more industrialised nations, Kenya is unable to produce large quantities of industrial timber due to a lack of supply and the age of its sawmills.
"
281,"Kenya who dominated the competition won the overall team event with three gold medals, four silver medals and two bronze medals to bag 79 points.
"
282,"For example, 1Magic’s The River was adapted for Kenya (as Kina) and Angola (O Rio).
"
283,"These snags have traversed generations and showed up in different forms across East Africa to haunt the rail line: the Rift Valley Railways saga, Kenya’s signing of contracts with China to build the Madaraka Express/Standard Gauge Railway [SGR] under questionable conditions, and cries of incompetence that stained management on the Ugandan arm of the rail line.
"
284,"Daniel arap Moi was appointed Vice-President of Kenya by President Jomo Kenyatta in 1966 and he served for 12 years until 1978 when Jomo Kenyatta passed away because of old age.
"
285,"On top of this, Kenya’s problem is not that it needs more energy.
"
286,"RUSF is manufactured in France, Ethiopia, Pakistan, Kenya and South Africa.
"
287,"Kenya is currently the largest exporter of Hass avocado in Africa whereby it gets up to US$ 100 million in foreign exchange.
"
288,"| TOM COLLINS | On both sides of the congested Ngong Road in Kenya’s capital city of Nairobi, informal carpenters known as “fundis” spend each day making beds, tables and chairs for the ever-expanding housing market.
"
289,"Francis Adome, the Member of Parliament for Moroto Municipality said that the factory is in a strategic location and will attract markets from neighboring countries such as Kenya and South Sudan.
"
290,"The hospital in the past was using a rental oxygen tank from British Oxygen Company, Kenya (BOC) and cylinders for back up.
"
291,"Last week, the African Union summit in Addis Ababa resolved to ask the UN Security Council to defer the case against President Uhuru Kenyatta of Kenya at the ICC.
"
292,"In September, fuel prices in Kenya rose to the highest level in Kenya’s history after the government attempted to discontinue the subsidy scheme on fuel that was introduced in April.
"
293,"Kenya will not be part of the 17 nations reportedly due to its status as a middle-income nation.
"
294,"Hane says most of salt bulk buyers were coming from Democratic Republic of Congo-DRC and Kenya.
"
295,"These include the presence of moths, weevils and the poisonous aflatoxin, some of the reasons usually used by export markets like Kenya to restrict Ugandan exports.
"
296,"Then, out of the frastration, some ingenuity of informally trading in the raw materials across the River Lwakhakha (the name itself means border in Lumasaaba) that marks that part of the Kenya-Uganda to the markets in Chepkube, Cheptais, Chepiungu and Kapchanga developed.
"
297,"“Kenya is prepared to fully implement the provisions of the Common Market Protocol from July 1st 2010,” Kenyatta said, “I also call upon our brothers in the community to do the same.
"
298,"Three of the victims are said to have escaped into hiding in neighbouring Kenya while the fourth girl was rescued bleeding profusely and in unbearable pain.
"
299,"While observers say that Museveni’s U-turn has a lot to do with his personal fears about the court (some opposition politicians have attempted to take him to the court), his criticism has crystallised around the ICC’s insistence on trying Kenya’s President Uhuru Kenyatta and his deputy, William Ruto.
"
300,"“I’m inspired by how Kenya fought the Lamu coal project.
"
301,"She comes in at a time when Kenya’s trade with her neighbors has dwindled over the last three years, especially in terms of the country’s exports.
"
302,"UP to 33 percent of MPs are female and regionally, only Rwanda with 49 percent female representation is higher.
"
303,"Yet even with these caveats, it is clear post- genocide Rwanda is building a more equitable society.
"
304,"This is incredible, even in countries that are much richer than Rwanda.
"
305,"He was also one of the RDF officers who attended the meeting that grilled Nyamwasa and sparked off his escape from Rwanda.
"
306,"Therefore, over the last twenty years, Rwanda has succeeded in spite of numerous obstacles that would under normal circumstances have relegated it to slow, stagnant, or declining economic growth.
"
307,"In its Applications instituting proceedings against Burundi and Rwanda, the DRC referred, as bases for the Court’s jurisdiction, to Article 36, paragraph 1, of the Statute, the New York Convention of 10 December 1984 against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment, the Montreal Convention of 23 September 1971 for the Suppression of Unlawful Acts against the Safety of Civil Aviation and, lastly, Article 38, paragraph 5, of the Rules of Court.
"
308,"If the Rwanda government feels aggrieved by Omuseso, it cannot be complainant, prosecutor and judge.
"
309,"Somalia and Rwanda abstained.
"
310,"Ethiopia and Rwanda can and are already doing this.
"
311,"Rwanda, in 2016 changed its constitution to enable Mr Paul Kagame to contest again.
"
312,"We should treat Rwanda, Ethiopia and Botswana as exceptions.
"
313,"In contrast the annual GDP per capita of Rwanda is currently about US$822.
"
314,"Almost simultaneously, on Nov.17, on the eastern side of Rwanda, Burundian soldiers were hit in a night attack on their base near the border with Rwanda.
"
315,"THE LAST WORD | Andrew M. Mwenda | According to The Economist, a United Kingdom-based highly opinionated newsmagazine, President Paul Kagame runs a tight autocratic political system in Rwanda.
"
316,"Rwanda seems to be a country of extremes.
"
317,"I went to the IMF website and downloaded GDP growth figures of 191 countries and sought to see how Rwanda ranks over the last 25 years (since 1988), over the last 19 years (since 1994) and over the last 13 years (since Paul Kagame became president in 2000).
"
318,"Most Western “experts” on Rwanda claim that Kagame has presided over a police state, suffocating individual freedoms, and terrorising its citizens.
"
319,"I then pulled out of the contract around the time Kayumba was shot because the government of Rwanda objected to my involvement.
"
320,"“He trusted people, which is a very strange thing to say because you think if you were the head spy really for a long time in Rwanda, you would be very careful, very cautious, but when he decided he liked somebody he just trusted them,” Wrong said.
"
321,"The East Africa Community Mining Bill 2016 will have its first hearing from partner states at an assembly in Kigali, Rwanda, in March, according to Hon.
"
322,"The latest upsurge of violence is between FARDC, DRC’s army and RDF, Rwanda’s troops, who are currently in open hostilities.
"
323,"On Feb. 16, the Police in Rwanda impounded 105 cartons of counterfeit BIC pens valued at over Rwf 6 million and arrested five people suspected to be behind the act.
"
324,"By purely increasing production through distributing improved inputs, supporting growing coffee associations, increasing quality by educating farmers on quality; strengthening cooperatives as well as promoting the Rwandan brand of coffee; Rwanda has moved from being a ‘below-commodity-grade coffee’ producer; having two coffee washing stations in 2000, to being Africa’s fifth largest coffee producer as of 2020.
"
325,"As fighting recently flared up between Tutsi rebels and government forces in eastern Democratic Republic of Congo (DRC), the Rwanda government has found itself, once again at the centre of yet another international controversy.
"
326,"Rwanda recorded a 34% rise in revenues, reaching $105 million in 2022, driven by favorable coffee prices.
"
327,"World Ventures reacted to developments in Rwanda with a terse statement that it does not do business in Rwanda.
"
328,"And with the exception of Ethiopia and Rwanda, all the fastest growing Africa economies over the last decade are very corrupt.
"
329,"At the event, Allan Ddamulira, a beneficiary of the fish smoking kiln, said the innovation brings hope at a time when fish farmers were frustrated by lack of market due to the closure of Rwanda-Uganda border.
"
330,"To traverse this vast jungle territory would take months, thus allowing Kinshasa to trade space for time to reorganise, call upon reserves, mobilise international support etc.
"
331,"Because Rwanda has little or no territory to trade for time to mobilize, the best defense – like Israel – is to strike first and fast to occupy enemy territory and create “artificial depth.
"
332,"Telesphore Ndabamenye, head of crop production at the Rwanda Agriculture Board, told AFP the harmless-looking brown caterpillar had afflicted most of Rwanda’s 30 districts but said the outbreak was “not bad.
"
333,"For Rwanda it was the biggest lesson so far because it was run using highly efficient and effective electoral machinery.
"
334,"“We do not have Rwanda’s support,” the M23’s Kanyuka insists.
"
335,"Kyambadde said selected students in fields such as bakery, woodwork, automotive mechanics, practical nursing, pharmacy and agriculture are not part of the competitions but will be allowed to take part in the exhibitions in Rwanda.
"
336,"The same fate has befallen Ethiopia, Africa’s fastest growing economy but not Rwanda, Africa’s second fastest growing economy.
"
337,"According to most observers, the Hutu are the majority in Rwanda, some even suggesting as high as 85 per cent of the population.
"
338,"I told them I have never seen a Rwanda police officer beat a civilian thereby letting lose the dogs of intellectual and emotional war.
"
339,"Eventually the Ugandan SGR will connect to Rwanda and South Sudan.
"
340,"THE LAST WORD | Andrew M. Mwenda | Last month, Rwanda hosted the African Union’s summit on the Continent Free Trade Area (CFTA).
"
341,"Burundi and Rwanda are planning to complete, in four years, a 500 km road linking them with Tanzania.
"
342,"“The Government of Uganda considers the shooting incident a grave matter and that although the latest victim is Rwandan, it constitutes a pattern of reckless and high-handed acts on the part of Rwanda security personnel, against simple, ordinary people that live along the common border.
"
343,"As president of Rwanda, he had a responsibility to punish corruption regardless of its effects on his and his party’s electoral fortunes.
"
344,"The sudden halt to the free movement of goods and people violates the EAC Common Market protocol of free movement of goods and people and Rwanda has been firm in denying it closed the border.
"
345,"Countries making baby steps in this zone include Rwanda, Gabon, Eswatini (Lesotho), and Algeria.
"
346,"Rwanda registered 5 new cases while no new data is coming out of Tanzania for nearly a week now.
"
347,"China, Mozambique, and Vietnam are level with Rwanda at 14%.
"
348,"Rwanda exported more than 19.7 million kilograms of coffee worth US$60.4milion in the previous year.
"
349,"Kenyatta, Museveni and Rwanda’s Paul Kagame, always looked at themselves as the coalition of the willing as Tanzania stayed out of that club.
"
350,"The central bank had, however, indicated that the Rwanda impact would not hurt much on the economy.
"
351,"It is the sixth year in a row that Rwanda is maintaining a high ranking in the World Bank index which rates countries on how easily a business can be set up and how it is protected after it has been set up.
"
352,"On February 8, 2012, Rwanda’s ruling party, the Rwanda Patriotic Front (RPF) held a meeting attended by over 2,000 delegates.
"
353,"In the letters, as well as at public functions where he officiates, people say that given the unique circumstances of Rwanda, and recent pressures on its government to toe a certain line, they are worried that when he leaves, many things could go wrong, especially if he leaves quickly and haphazardly.
"
354,"I was also transferred and made deputy director of military intelligence (finance and administration), deputising Gen Muntu with two others in charge of counter intelligence: Paul Kagame [current president of Rwanda] and a deputy for technical intelligence.
"
355,"Rwanda 15.
"
356,"They add: “It also betrays an apparent appetite for state-to-state violence against the backdrop of a resurgence of interstate tensions such as the recent Rwanda-DRC clashes, raising questions about military capabilities on the continent.
"
357,"” said Gerald Mukubu, head of Rwanda’s Private Sector Federation, at the time.
"
358,"“The revised Green Growth and Climate Resilience Strategy aims to guide national policy and planning in an integrated way, mainstream climate change into all sectors of the economy, and position Rwanda to access international climate funding and investment,” said Rwanda’s Minister of Environment, Dr Jeanne d’Arc Mujawamariya, in a statement.
"
359,"This time, to demonstrate confidence in improved relations with Rwanda, he decided to take the bold step and fly into Kigali.
"
360,"Then there are countries like Rwanda.
"
361,"In 2016 Rwanda opened a Methane Power Project on Lake Kivu.
"
362,"As I have argued before, though it’s an uncomfortable fact, the Tutsi elite in Rwanda is very mindful of its being a minority, and that mistakes in their country don’t end in just a loss of power.
"
363,"You have seen what has happened in neighbouring Rwanda when the government woke up and said no; transferring money from your bank to the mobile wallet should be free and the other way.
"
364,"Then in 1999 and in 2000, our Congolese adventure led to us to three ugly battles, this time with our erstwhile ally, Rwanda in Kisangani.
"
365,"It happened in South Sudan, Rwanda and perhaps Somalia.
"
366,"South Africa, too, has seen a spectacular drop in fertility, as have Malawi and Rwanda.
"
367,"South Sudan stands at 145 while Rwanda and Burundi, which have been at loggerheads in recent years follow each other at 159 and 160.
"
368,"In Rwanda, for example, a Community-Based Health Insurance Scheme covers more than 80% of the population, in a country where 90% of people work in the informal sector.
"
369,"Over the last 25 years, Rwanda’s GDP growth rate has averaged 4.5% thus making it the 75th fastest growing economy in the world.
"
370,"Across the border, Rwanda’s President Paul Kagame recently dismissed from Cabinet, Ambassador Olivier Nduhungirehe, the country’s Foreign Affairs Minister who Ugandan observers felt was undermining the relationship between the two countries.
"
371,"When Kagame led the Rwanda Patriotic Army/Front to victory in Rwanda in 1994, he and his comrades faced a country in which an extremist Hutu and opportunistic Tutsi elite had led the masses into participating in the wholesale murder of nearly one million Tutsi and opposition Hutus.
"
372,"Famous for its robust tourism and wildlife approach, Rwanda is the only African country with an extensive gorilla conservation programme, the International Gorilla Conservation Programme, and has made this unique species the centrepiece of its tourism offering, in much the same way that China has done with its pandas.
"
373,"This is the dilemma those who comment on Rwanda politics face.
"
374,"One can easily think it is well researched – that is if they are ignorant of the realities of post genocide Rwanda.
"
375,"Indeed, Congo can outsource the provision of order in the east from Rwanda.
"
376,"Rwanda is reportedly at US$673 and Ethiopia at US$174.
"
377,"“We hope that the finalists will get more expertise in what they are working on during their stay in Rwanda,” Musene said.
"
378,"This Kigali attitude, combined with something akin to a jihad by the international press against Rwanda that is biased, one-sided and vitriolic has made Kigali’s case less convincing.
"
379,"Kagame has helped put in place public and private institutions in Rwanda.
"
380,"Basigo has also entered the Rwanda’s market, while a partnership between the Rwandan government and Vivo Energy for over 200 e-buses demonstrates the growing regional momentum.
"
381,"You chased the owners of the house to Rwanda.
"
382,"If you know a CEO or someone that’s been very successful and he calls up the White House and says, you know what, there’s a little country called Rwanda, and a guy named Paul Kagame that runs it, and you need to focus on that guy because they are going to go somewhere, you pay attention.
"
383,"In the past, Rwanda used to call me monthly to check some of their projects.
"
384,"The report says Rwanda has expressed discomfort about the UPDF deployment in DR Congo.
"
385,"A parent who preferred anonymity says her son travelled to Rwanda for studies.
"
386,"However, numerous Rwandan journalists argue that the media crisis in Rwanda extends beyond censorship to intimidation.
"
387,"In Rwanda, the agency provided support to RwandAir.
"
388,"International visitors for tourism and trade shows are a major source of revenue of Rwanda and Kigali in particular, which markets itself as an attractive location for global conferences.
"
389,"The refugees originate mainly from the Democratic Republic of Congo, Rwanda, South Sudan, Somalia, and Burundi.
"
390,"Rwanda’s Paul Kagame, 64 this year, was 43 when he mounted the saddle in 2000.
"
391,"It was set for November 18, again moved from November 13 as the Angola Foreign Affairs Minister was said to be committed, then eventually called off by Rwanda.
"
392,"The Seminar that has brought Speakers from South Sudan, Tanzania, Ghana and Rwanda will close on the 07th December 2017.
"
393,"There are political restrictions in Rwanda that may seem authoritarian to a foreign visitor armed with an abstract notion of freedom but which its people, knowing all too well their own circumstances, see and accept as absolutely necessary for their stability and cohesion.
"
394,"His project was driven by seeing how Rwanda’s economy is based on agriculture and livestock, and yet most of the produce goes to waste because of lack of processing avenues.
"
395,"Scores of other police officers, who had occupied top jobs under him are also in custody, as a wide ranging military intelligence investigation into suspected treason, multiple murders/assassinations, kidnap and forced repatriation of political asylum seekers and refugees from Rwanda and South Sudan, proceeds.
"
396,"Initial reports said the attackers retreated in Rwanda and that their level of sophisticated equipment went beyond that of a rebel outfit.
"
397,"Last year Rwanda witnessed an increase in prices of agro products due to drought in some parts of the country.
"
398,"In 2014, an oil survey exercise in Rwanda discovered that the Lake Kivu basin was favorable for oil and gas exploration.
"
399,"Yet they should have learnt in Rwanda that those registers are permanently available for anybodyâ€™s reflection at any one time.
"
400,"Therefore, without oil exporters distorting the sample, Rwanda has been the 8th fastest growing economy in the world since Kagame assumed office in 2000.
"
401,"For the last 13 years, Rwanda has been the sixth fastest growing economy on the continent.
"
402,"Since the current crisis in the Democratic Republic of Congo flared up, most international media coverage has focused on Rwanda’s alleged support for M23, one of over 40 rebel groups fighting Kinshasa.
"
403,"Currently, in Uganda, an investor in the mining sector has to pay Shs100, 000 for a mining lease per hectare or part of a hectare as mineral rent annually, fees for a retention license amounting to Shs100,000 per km2 or part of a square KM as mineral rent annually, fees for an exploration license of Shs50,000 per km2 or part of a square KM as mineral rent annually.
"
404,"He observed that going by the strain caused by servicing the debt, some international financiers are not at ease investing in Uganda.
"
405,"For instance, Uganda’s exports to the United Arab Emirates grew from $300 million US Dollars, about Shs 1.1 Trillion, since diplomatic relations were established in 2009 to $1.85 billion, about Shs 7 Trillion in 2020.
"
406,"Ambassador Ayebare also expressed optimism that the committee had executed its mandate in Uganda and a mid-term report is expected to be published as a document of the security council by 30th December 2022.
"
407,"The most common types of ticks in Uganda are Ixodidae (hard-bodied ticks) and Argasidae (soft-bodied ticks).
"
408,"In a statement released on Wednesday, Uganda’s Ministry of Foreign Affairs said that all interactions and engagement minister Kutesa had with CEFC and its representative Patrick Ho were in fulfillment of his official functions as President of the UN General Assembly (PGA) in 2014-15.
"
409,"The loss of public property has never been a serious offense in the Uganda that I know.
"
410,"An MP in Uganda takes Shs14.5 in salary and allowances every month while their Kenyan counterparts take Shs16.5 million.
"
411,"Kariuki presented to the media the “Uganda Economic Update 19th Edition” which reported that, according to the World Bank, the Uganda economy has been growing too slowly while its population was growing too fast, leaving the country unable to attain Middle Income Status.
"
412,"“The finest cotton in the world is produced here in Uganda and we shall support a mechanism for Uganda to produce, process and market her cotton globally,” he said.
"
413,"It presents a good opportunity for Uganda to share the current developments in the oil and gas sector together with the energy and mineral sectors including available investment opportunities,” Minister Nankabirwa said.
"
414,"Museveni’s determination to secure Uganda’s oil has, however, led to shrouding the sector in secrecy.
"
415,"What is also interesting is that at the heart of the political vision in Uganda is that it cannot succeed without the development of the regional environment.
"
416,"The UK is hosting summits on both of these areas this year and I’m delighted that Uganda is closely engaged on both.
"
417,"Tullow Uganda appealed the decision of the tribunal to the Commercial court, which resulted into an out-of-court settlement, which is now being contested.
"
418,"The logistics industry, and especially the Uganda Freight Forwarders Association (UFFA), is passionate about turning Uganda into the main logistics hub for the region.
"
419,"However, using countries like Algeria, Israel and Pakistan which charge windfall tax on oil prices reaching between US$ 30 and US$60, CSBAG thinks that the US$75 minimum threshold for Uganda is high.
"
420,"The sector employs about 66 per cent of Uganda’s total labour force, and the vast majority of our population and directly and indirectly depend on it.
"
421,"Unlike Uganda where most transactions are with hard cash, in Somalia, it is easier to pay for anything using a mobile money-like service.
"
422,"Consequently, there is no direct monetary gain from authorship, partly because of a poor reading culture in Uganda and, therefore, limited size of the book market.
"
423,"Below are the interview excerpts with questions ranging from the recent loan, Uganda's growth, and accountability.
"
424,"For example Conservationists working with government of Uganda signed a much sought-after biodiversity conservation commitments.
"
425,"The population of Uganda was 14 million in 1986.
"
426,"President Museveni remains committed and set on seeing Uganda’s oil exploration project and development plan concluded as stipulated; including advancing with the mega oil pipeline project across Lake Albert.
"
427,"History shows that two politicians, Obote and Museveni, who successfully launched their eventually successful bids to rule Uganda from Tanzania, destroyed this landmark.
"
428,"A 2009-2010 report by FIAN, Food First Information and Action Network, an international organization, found that the government has reportedly leased 2m feddans of land (840,127 ha) – a staggering 2.2% of Uganda’s total area – in various parts of the country to Egypt, so that Egypt’s private sector may come in and produce wheat and maize for export to Cairo.
"
429,"Uganda receives about 1.8 million visitors annually, including nationals and residents returning.
"
430,"According to BOU, the closest Uganda’s inflation touched the current level was in August 2012.
"
431,"Rudi Veestraeten said Uganda is on the truck in its approach to empowering the youth to become self-reliant.
"
432,"When the analysis was done; three emerged as particularly influential, among them Janet Museveni, wife of Uganda’s Yoweri Museveni.
"
433,"Also, gold export figures directly affect the GDP values of Uganda, inflating them, thereby painting a bogus image of the actual state of the economy.
"
434,"Museveni always says that in 1986, Uganda collected Shs5 billion in revenues.
"
435,"Uganda and Tanzania say it stifles production and trade in locally grown rice and some rice imports in the region are illegally re-exported.
"
436,"In related developments, on Thursday, His Eminence Sheikh Shaban Ramadan Mubaje, the Mufti of Uganda, along with a delegation from the Interreligious Council of Uganda, conducted a tour of various oil projects.
"
437,"Laura says IJM could move to northern Uganda if funds become available.
"
438,"Earlier this year, in June, I was privileged to get audience with H.E the president of Uganda.
"
439,"When it broke out in Uganda last year, other countries like China were battling a tougher strain H7N9.
"
440,"“Elections in Uganda have become procedural rituals, not opportunities for establishing government by consent, thanks to the obscenely high financialisation of the elections,” he writes.
"
441,"Uganda has to take cue from other countries.
"
442,"Regionally Uganda’s imports from the African continent (based on 2020 data) is $2.8-billion, representing 34% of its total imports.
"
443,"But what we need to have is a process of being able to talk about what happened; a process of reconciliation and a process of justice so that we are able to ensure that northern Uganda and the country in general is able to move on.
"
444,"So I still believe Uganda is central geographically but also in terms of conflict resolution and building the East African Community.
"
445,"Many people are concerned about the failing impact on Uganda oil prices but the explanation is simple.
"
446,"Highly placed sources in the Uganda government, speaking on condition of anonymity, have told TheIndependent that there had been discussions between the Ugandan government and the diplomatic community on how the issue of Bashir’s presence would be handled.
"
447,"By 1986, when the NRM took power after an armed conflict of 20years (1966-1986),the economy of Uganda had collapsed and had been totally informalized.
"
448,"A lot of attention has to be put into getting the discovery process in motion; there is no substitute to significant public investment in geological information.Tullow has sunk 27 wells in Uganda, 26 of them have struck oil.
"
449,"As press reports note, there have been concerns in the Ministry of Foreign Affairs that these statements “could be misconstrued as the official position of the state of Uganda”.
"
450,"Pius Wakabi Kasajja, the Permanent Secretary in the Ministry of Agriculture, Animal Industry and Fisheries (MAAIF) says that although people underestimated the locusts because of the invisible damage in Uganda, many farmers would have lost out, if the migratory hoppers had not been managed.
"
451,"“The United States values its relationship with Uganda,” Wharton stated and the interpretation of any looking at the walk-out as an indication of sharp exchanges ahead quickly subsided.
"
452,"COVER STORY | IAN KATUSIIME | First, place a joint force of the Uganda army and forces of the DR Congo government in rebel infested but mineral rich North Kivu region of that vast country.
"
453,"Uganda needs up to 28.1 billion dollars to finance climate mitigation measures according to its Nationally Determined Contribution, a commitment it made in line with the 2015 Paris Agreement, for the period 2020-2030.
"
454,"Meanwhile, International Finance Corporation (IFC), the World Bank Group’s private-sector lending arm, plans to increase spending on sub-Saharan Africa’s oil and gas industry and sees ‘significant’ opportunities in Ghana, Uganda, and Tanzania.
"
455,"Immediately following the Energy minister’s announcement, Heavey flew to Uganda to meet with President Museveni, presumably to try and avert a decision in favour of Heritage and ENI.
"
456,"I want to reiterate the respect Somalia has for Uganda for championing peace in Somalia and our bilateral cooperation,” the Somali leader said.
"
457,"“Uganda is rich is very rich in cultural.
"
458,"In Uganda, visual evidence and interview showed that standard safety boxes are used, and the sharps containers are PQS approved or comply with national policy at about 60%.
"
459,"Different government of Uganda officials – from the president to low rank staff within the ministry of Energy and Mineral Development - have pushed back, some of whom claim that the European Parliament’s resolution is laced with colonialist undertones and brings back memories of historical injustices meted out by Europeans on Africans.
"
460,"‘LR8001’ is a deluxe land rig customized for the KingFisher project in Uganda.
"
461,"Traders say they were later told Uganda is an open market and everyone is allowed to trade.
"
462,"TotalEnergies being the captain of Uganda’s oil industries favoured European companies.
"
463,"President Yoweri Museveni has finally been sucked into the firefighting now underway to save Uganda’s biggest electricity project from shoddy construction, incompetent contractors and supervisors, and jostling for control of the $2 billion budget.
"
464,"The Fanaka report notes that ‘Uganda’s long history of political upheaval, beginning from the time of colonisation, has often revolved around ethnicity.
"
